id;active;status;overdue_days;action;contact_email;speed
1;false;SECOND_REMINDER;16012;REMIND_CONTACT_BY_EMAIL;Mauritius repurpose;PRIORIRY
2;true;THIRD_REMINDER;6843;REMIND_ME;Group Guatemala and;ECONOMY
3;false;PAYMENT_REMINDER;79683;REMIND_CONTACT_BY_POST;Coordinator;ECONOMY
4;false;THIRD_REMINDER;34503;REMIND_ME;disintermediate bus;ECONOMY
5;false;FIRST_REMINDER;44857;REMIND_CONTACT_BY_EMAIL;Pizza Executive;PRIORIRY
6;false;SECOND_REMINDER;61035;REMIND_CONTACT_BY_POST;intuitive Loan;ECONOMY
7;true;SECOND_REMINDER;51041;REMIND_ME;Guadeloupe Steel Tools;PRIORIRY
8;false;PAYMENT_REMINDER;25021;REMIND_CONTACT_BY_EMAIL;Human salmon invoice;PRIORIRY
9;true;THIRD_REMINDER;12505;REMIND_ME;Granite;PRIORIRY
10;false;PAYMENT_REMINDER;15619;REMIND_CONTACT_BY_EMAIL;neutral orchestrate neural;ECONOMY
