id;remote_id;number;contact_name;name;description;start_date;hours_estimated;hourly_rate;status
1;85529;Polarised;Books;Franc Table Micronesia;Center;2021-08-16;64529;58193;CLOSED
2;39320;extensible;Total USB e-services;European Junctions digital;Account;2021-08-17;65745;78300;OPEN
3;81135;Malagasy Alley Practical;solution;Supervisor index Diverse;Brand copying;2021-08-16;47224;10188;BILLED
4;50712;Azerbaijanian Research Optional;multi-byte iterate;Radial;magenta;2021-08-17;92628;70856;BILLED
5;27765;technologies Ringgit Up-sized;back-end;violet;indigo pink;2021-08-16;72902;19298;PENDING
6;74548;port Computer;Central Mouse;services infomediaries Technician;synthesizing Gloves;2021-08-17;45657;95124;OPEN
7;36697;bluetooth Borders;Metrics;Computer digital matrix;Metal matrix back-end;2021-08-17;24668;11112;OPEN
8;34712;Ergonomic Practical Corporate;Passage blue hub;of open-source Architect;Dollar;2021-08-17;18956;55441;BILLED
9;48535;JBOD;exploit;Arabia withdrawal;black disintermediate;2021-08-17;50407;70919;CLOSED
10;48905;firewall;hacking;harness bypass;leading-edge;2021-08-17;43512;21077;BILLED
